Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,City,State,Zipcode,,,
FY 2012,11/26/11,11/14/11,Wertling and Sons, Burkettsville,OH,45310,,,Worker died from an apparent electrocution after being found in the boiler room with multiple burns.
FY 2012,11/19/11,11/12/11,J R Excavating, Fairborn,OH,45324,,,"Worker replacing a sewer line inside a trench was killed after natural gas contacted an ignition source, causing an explosion and fire."
FY 2012,8/25/12,8/1/12,A.H. Sturgill Roofing Inc., Miamisburg,OH,45342,,,Worker performing roofing activities suffered a heat stroke and later died.
FY 2012,8/4/12,7/27/12,ATW Automation Inc., Dayton,OH,45402,,,Worker operating a core pole assembly machine died after being caught in between two conveyors.
FY 2012,12/24/11,12/20/11,Rumpke of Ohio, Dayton,OH,45402,,,Worker sweeping up pieces of paper was killed when six bales of paper fell on him.
FY 2012,8/11/12,8/6/12,P.H. Glatfelter Paper, Chillicothe,OH,45601,,,Worker operating a bulldozer died when she was runover by the machine while trying to jump from it when it caught fire.
FY 2012,7/14/12,7/12/12,Hearthside Food Solutions LLC, McComb,OH,45858,,,Worker died after experiencing shortness of breath while packaging cookies on a production line.
FY 2012,1/14/12,1/10/12,Minster Machine Company, Minster,OH,45865,,,Worker operating an overhead crane to move a foundry flask died when caught between two flasks.
FY 2012,6/23/12,6/18/12,Universal Roofing & Sheetmetal, Norman,OK,73014,,,Worker died from a 50-foot fall while repairing a roof.
FY 2012,2/25/12,2/20/12,Win-Sons Poleline Construction, Watonga,OK,73040,,,Worker replacing lightning arresters on electrical lines was electrocuted after touching an energized line.
FY 2012,3/24/12,3/20/12,OGE Red Bud Power Plant, Luther,OK,73054,,,Worker tightening bolts on a steam drum died from blunt force trauma and burns when increased pressure caused drum to explode.
FY 2012,9/8/12,9/1/12,OG&E Energy Corp., Mustang,OK,73064,,,Employee for an energy supply company was electrocuted.
FY 2012,5/5/12,4/23/12,Horizon Energy Services LLC, Oklahoma City,OK,73135,,,"Drilling worker was killed when a hydraulic line used to lift machinery broke, pinning him underneath the equipment."
FY 2012,5/5/12,4/21/12,Dan D. Drilling Inc., Capron,OK,73717,,,Worker for a drilling company died when he fell from a derrick platform to the rig floor.
FY 2012,3/3/12,3/1/12,White Hawk Engineering and Design, Kingfisher,OK,73750,,,Worker surveying a wheat field was struck and killed by a train as he crossed a railroad track.
FY 2012,2/4/12,2/3/12,Pistol Drilling LLC, Woodward,OK,73801,,,Worker unloading an A leg of a derrick died after he was struck and pinned under several falling A legs.
FY 2012,10/8/11,9/22/11,Reproduction Services, Stillwater,OK,74075,,,"Worker, on the roof of a barn he was building, died when he fell through a skylight, hitting the floor below."
FY 2012,11/12/11,11/7/11,Horizon Energy Services, Foraker,OK,74652,,,Worker on an oil/gas well drilling rig was struck and killed by a block that fell to the rig floor.
FY 2012,7/14/12,7/10/12,Knife River Corporation - Northwest, Canby,OR,97013,,,Worker placing roadway signs at an intersection was struck and killed by a vehicle.
FY 2012,9/15/12,9/12/12,Farwest Portable Crushing Inc., Gresham,OR,97030,,,Worker operating a construction vehicle was killed when vehicle rolled over and down a hill.
FY 2012,5/26/12,5/20/12,Columbia County Mental Health, St. Helens,OR,97051,,,Worker delivering medications at a mental health facility was attacked and fatally stabbed by a patient.
FY 2012,4/14/12,4/11/12,State of Oregon State Hospital, Salem,OR,97301,,,Worker attempting to restrain a patient collapsed and died from apparent natural causes.
FY 2012,5/12/12,5/9/12,Allen & Gibbons Logging Inc., Canyonville,OR,97417,,,"Worker had just set chokers in a unit of tree length on steep terrain. When the lines came tight, the log swung forward and struck the victim in the chest and head."
FY 2012,6/23/12,6/15/12,Millicoma Logging LLC, Ten Mile,OR,97420,,,Worker was fatally injured when a log being lifted by equipment broke and fell on his chest.
FY 2012,7/28/12,7/23/12,Pacific Coast Contracting Inc., Medford,OR,97501,,,Worker was killed when the forestry van he was riding in was struck by a motor vehicle.
FY 2012,9/1/12,8/22/12,Pendleton A-1 Hospitality LLC, Pendleton,OR,97801,,,Hotel worker found inside hotel room was a victim of homicide.
FY 2012,3/24/12,3/4/12,JM Manufacturing Inc., Umatilla,OR,97882,,,Worker performing maintenance at a pipe fitting manufacturer was killed when a 396-pound plastic pipe fell on him.
FY 2012,1/21/12,1/16/12,Cronimet Corporation, Aliquippa,PA,15001,,,Worker was struck and killed by a powered industrial truck.
FY 2012,9/8/12,9/6/12,Construction Engineering Consultants Inc., Beaver Falls,PA,15010,,,Employee was struck and killed by a dump truck moving in reverse.
FY 2012,9/8/12,9/2/12,GreenTek Roofing, Carnigie,PA,15106,,,Worker died after falling from a roof.
FY 2012,6/30/12,6/28/12,R & B Mechanical Inc., West Mittlin,PA,15122,,,Worker died of a possible heart attack or from being caught between top of aerial lift and the ceiling.
FY 2012,10/8/11,9/30/11,Steve Wolota General Contractor, McKees Rocks,PA,15136,,,Worker performing roofing work died after falling more than 10 feet to the ground.
FY 2012,5/12/12,5/9/12,DLS Tree Services, Edgeworth,PA,15143,,,Worker was electrocuted when the pole saw he used to trim trees touched an overhead power line.
FY 2012,11/12/11,10/28/11,J.J. Tree Service and Landscaping, Monroeville,PA,15146,,,Worker died when he suffered a severe laceration to his leg while cutting tree branches.
FY 2012,5/26/12,5/22/12,American Contracting Enterprises Inc., Pittsburgh,PA,15206,,,Worker performing asbestos removal was electrocuted.
FY 2012,11/19/11,11/15/11,Brookman Iron and Metals, Washington,PA,15301,,,Worker was crushed after part of a bulldozer bucket being cut for scrap collapsed on him.
FY 2012,12/24/11,12/19/11,Allen Enterprises & Recycling, Connellsville,PA,15425,,,"Worker was crushed by two 1,100-lb. bales of recycled paper that collapsed on top of him."
FY 2012,9/15/12,9/7/12,J.R. Resources LP, Ringgold,PA,15570,,,Worker pumping fluid out of a plastic tank died when the tank exploded.
FY 2012,6/9/12,6/6/12,Jay Springer Contracting, Ligonier,PA,15658,,,Worker died after falling off of roof he was repairing.
FY 2012,10/1/11,9/19/11,KG Construction, Saltsburg,PA,15681,,,Worker moving an aluminum materials lift was killed when the lift touched an energized powerline.
FY 2012,4/7/12,4/1/12,Mersen USA St. Mary's PA-Corp., St. Mary's,PA,15857,,,"Worker operating a powered industrial truck died when the raised fork from another truck struck his leg, cutting a main artery."
FY 2012,11/12/11,10/25/11,Yubas Construction, Johnstown,PA,15906,,,Worker died from head and spinal injuries after falling 20 feet from a roof.
FY 2012,7/21/12,7/17/12,Bruce and Merrilees Electric Company, New Castle,PA,16101,,,"Worker transporting a telephone pole died from head trauma when a vehicle hit the pole, causing the pole to strike the worker's head."
FY 2012,11/5/11,11/3/11,WS Packaging Group, Franklin,PA,16323,,,"Worker using a flammable solvent to clean a mixer blade was killed when a piece of equipment ignited the solvent, causing a flash fire."
FY 2012,4/7/12,4/5/12,Patterson UTI, Tionesta,PA,16353,,,Worker connecting pipes at a gas well site was crushed between a beam and pipe.
FY 2012,8/18/12,8/16/12,Osmic Inc., Titusville,PA,16354,,,Worker died after falling 30 feet while removing bolts from a crane rail.
FY 2012,1/7/12,1/4/12,Utilities Forestry Services, Duncansville,PA,16635,,,Worker using a chain saw to cut down trees was struck and killed by falling limbs from another tree.
FY 2012,7/21/12,7/13/12,Baker Logging, Williamsburg,PA,16693,,,Worker cutting lumber was struck and killed by a falling tree.
FY 2012,12/17/11,12/10/11,Highlands Drilling, Wellsboro,PA,16901,,,"Worker walking alongside a forklift was run over and killed when he fell, landing in front of the forklift's rear tire."
FY 2012,6/9/12,6/4/12,Ward Manufacturing Inc., Blossburg,PA,16912,,,"Worker sustained a head injury while working on a SPH 40 core machine, which is used as part of a foundry process to prepare raw materials for forming the end-product."
FY 2012,11/5/11,10/27/11,Walter R Lindenmuth Lumber & Supply, Green Point,PA,17038,,,Worker changing knife blades on a wood chipper was killed when he was caught between the chipper's spout and mounting plate.
FY 2012,3/17/12,3/11/12,Capital City Cab Service, Steelton,PA,17113,,,Cab driver was shot and killed.
FY 2012,8/25/12,8/21/12,J.R. Wyles Inc., Lewisberry,PA,17339,,,"Worker in a bucket truck was electrocuted after contacting a 7,200 volt electric line."
FY 2012,8/18/12,8/11/12,BAE Systems, Thomasville,PA,17364,,,Worker driving a maintenance cart died from head trauma when the brakes failed causing him to hit a wall.
FY 2012,11/19/11,11/11/11,FM Home Improvement, York,PA,17404,,,"Forklift operator was killed when he jumped out of the cab as the forklift tilted sideways, and was struck on the head by the extendable arm of the lift."
FY 2012,6/2/12,5/24/12,Zimmerman Manufacturing LLC, New Holland,PA,17557,,,Worker in a manufacturing facility was killed when he fell 12 feet from a skid loader machine.
FY 2012,10/1/11,9/24/11,E &R Construction, Washington Boro,PA,17582,,,Worker died from head injuries when he slipped and fell 15 feet from a ladder.
FY 2012,12/10/11,12/5/11,Wexcon, Lancaster,PA,17604,,,Worker putting paddles in the back of a pickup truck was run over and killed after the driver put the truck in reverse.
FY 2012,8/4/12,7/29/12,Wildlife Specialists LLC, Canton,PA,17724,,,Worker using metal poles to catch bats was electrocuted when the poles touched power lines.
FY 2012,11/26/11,11/30/11,Plaza Shopping Center Inc., Selinsgrove,PA,17870,,,Warehouse worker died from head trauma after falling from ladder.
FY 2012,9/8/12,9/4/12,HRI Inc., Bethlehem,PA,18015,,,Worker was crushed when a section of a road barrier fell on him.
FY 2012,10/8/11,9/30/11,Greenstar Recycling, Northampton,PA,18067,,,Worker performing maintenance on a baler was killed when falling cardboard caused him to fall back onto a protruding machine part.
FY 2012,10/8/11,9/21/11,Livengood Excavators, Palmerton,PA,18071,,,"Worker was killed when his dump truck overturned, rolled down a hill and landed on top of him."
FY 2012,3/31/12,3/24/12,Proctor & Gamble Paper Products Co., Mehoopany,PA,18629,,,Worker was performing maintenance on a paper mill machine was killed when his head became trapped between the oscillating shower head feed pipe and a stationary water return duct.
FY 2012,2/18/12,2/10/12,Wyoming Valley Pallets Inc., Exeter,PA,18643,,,Worker was struck by machine and caught in driveshaft of hammermill used to dig frost.
FY 2012,9/8/12,9/2/12,Core-Mark International, Wilkes Barre,PA,18703,,,Worker operating a forklift died from head injuries after being struck by a beam.
FY 2012,12/24/11,12/21/11,Silgan Plastics Corporation, Langhorne,PA,19047,,,Worker was struck and killed by the cab of a tractor trailer truck that was being moved.
FY 2012,6/2/12,5/30/12,Lex Electric Company Inc., Philadelphia,PA,19063,,,Worker was performing electrical work and fell from a ladder.
FY 2012,5/26/12,5/19/12,Sandmeyer Steel Company, Philadelphia,PA,19116,,,Worker painting a fence was struck and killed by a moving vehicle.
FY 2012,1/14/12,10/2/11,Father & Sons Pizza, Philadelphia,PA,19125,,,"Worker unloading cases of soda from a delivery truck was killed when the truck door hit him on the head, causing him to fall and hit his head on the concrete."
FY 2012,11/12/11,11/4/11,U-Haul International, Philadelphia,PA,19138,,,Worker was crushed underneath a portable storage container after the container tipped over.
FY 2012,5/26/12,5/18/12,Brandywine Railroad Subsidiary of Arcelor Mittal, Conshohocken,PA,19428,,,"Railroad worker, who opened up the door to a railcar containing rolls of paper, was crushed when the paper rolls fell on him."
FY 2012,8/4/12,7/31/12,Manny's Tree Service LLC, Bernville,PA,19506,,,Worker performing tree trimming operations was struck and killed by a tree limb.
FY 2012,12/17/11,12/10/11,Deer Country Farm & Lawn Equipment, Mohnton,PA,19540,,,"Worker disassembling the head piece of a forage harvester was killed when the machine tipped over, crushing him."
FY 2012,7/28/12,7/16/12,JR Sheet Metal Manufacturing Inc., Caguas,PR,646,,,Worker fell 7 feet from a ladder while working on an air conditioning system.
FY 2012,11/12/11,11/7/11,OAS Rigging Crane Corp, Mayaguez,PR,680,,,Worker cutting a beam to a water tank was killed when the tank fell on him.
FY 2012,9/1/12,8/22/12,Aireko Construction Corporation, Caguas,PR,725,,,Worker fell 17 feet through a metal roof landing on a concrete floor.
FY 2012,12/24/11,12/8/11,Best Way Transport Inc., Cayey,PR,736,,,Worker was crushed between a trailer and a door.
FY 2012,3/24/12,2/24/12,Equipos de Bequeron, Las Piedras,PR,771,,,Worker was thrown from a truck and killed when equipment the truck was carrying caused the truck to crash.
FY 2012,12/24/11,12/16/11,Frank Carradero, Humacao,PR,791,,,"Worker adding air to a tire was killed when it exploded, propelling him through the building's roof."
FY 2012,1/28/12,1/24/12,Redcom General Contractor, San Juan,PR,908,,,Worker was cutting concrete from a mobile scaffold when a roof collapsed and debris hit the workers head.
FY 2012,4/21/12,4/9/12,Ferreteria Maderas 3C, San Juan,PR,920,,,Worker in a warehouse shipping and receiving area was struck and killed by a vehicle.
FY 2012,9/15/12,9/14/12,Belton Metal Company Inc., Belton,SC,29627,,,Worker run over and crushed by track hoe.
FY 2012,3/24/12,3/20/12,Brantec Packaging Machinery Corp., Fort Mill,SC,29715,,,Worker at a packaging manufacturer was struck and killed by a forklift.
FY 2012,4/7/12,3/20/12,Brantec Packaging Machinery Corp., Fort Mill,SC,29715,,,Worker was struck and killed by a forklift while walking through a bay door.
FY 2012,6/30/12,6/26/12,Ati Allvac, Richburg,SC,29729,,,Worker at a metals facility died from asphyxiation after exposure to nitrogen.
FY 2012,9/8/12,9/1/12,Carolina Salvage, Rock Hill,SC,29730,,,Worker operating a crane to put a trailer on beams was killed when the trailer fell on worker.
FY 2012,9/1/12,8/27/12,Edwards Construction Inc., Rock Hill,SC,29732,,,Worker preparing to cut tree limbs died after falling 40 feet to ground.
FY 2012,4/7/12,4/5/12,Carolina Farms and Harvesting Inc., Johnston,SC,29832,,,"Two workers installing an irrigation line from a pond to orchard fields were electrocuted when the metal piping contacted an overhead power line. One worker died, the second was hospitalized."
FY 2012,11/19/11,11/7/11,Adams Thermal Systems, Canton,SD,57013,,,Worker doing maintenance on machinery died after being caught between the machine and a moving part.
FY 2012,9/8/12,9/4/12,Hansen Plumbing Inc., Gettysburg,SD,57442,,,Employee was struck and killed by parts of a wastewater pump that exploded.
FY 2012,6/23/12,6/18/12,Zandstra Construction, Faith,SD,57626,,,Worker operating an asphalt roller was pinned underneath the machine when it rolled over into a ditch.
FY 2012,4/28/12,4/27/12,Dakota Steel, Rapid City,SD,57702,,,"Steel worker using a machine to bend an elevated steel beam was killed when the 1,600-pound beam fell on him."
FY 2012,6/9/12,6/5/12,Simon Contractors, Caputa,SD,57725,,,"Worker operating an asphalt roller died after the machine tipped over, crushing him underneath."
FY 2012,11/26/11,11/8/11,White County Lumber Co., Sparta,TN,,,,Worker died when struck in the chest by a pack of lumber.
FY 2012,3/3/12,2/28/12,Jennings Farms, LaVergne,TN,37086,,,Worker died after being pinned under the front tire while attempting to stop an unattended moving tractor.
FY 2012,2/4/12,1/27/12,Ventrue Trucking, Lavergne,TN,37086,,,Worker offloading steel coil was pinned between truck bed and coil.
FY 2012,9/15/12,9/11/12,Elba Diaz, Mt. Juliet,TN,37122,,,Worker performing residential framing died after falling nine feet from the top of an interior wall.
FY 2012,6/30/12,6/17/12,Food Business Inc., Nashville,TN,37206,,,Restaurant worker died from suffocation after becoming trapped in a walk-in cooler.
FY 2012,9/29/12,9/24/12,Traffic Specialists, Inc. Calhoun,TN,37309,,,Worker was installing reflectors when struck by a tractor trailer.
FY 2012,8/25/12,8/21/12,Yumoto Company Ltd, Dechard,TN,37324,,,Worker at an automobile assembly plant was crushed in machine.
FY 2012,3/24/12,3/26/12,Gilley Construction Inc., Manchester,TN,37355,,,Worker died from an apparent drowning after falling from a barge into the water.
FY 2012,5/12/12,5/7/12,TAG Manufacturing Inc., Chattanooga,TN,37421,,,Worker stepped into an auger pit and became caught in the auger.
FY 2012,11/19/11,10/15/11,Sergio Arroyo-Contreras dba SAC Hands, Gray,TN,37615,,,"Employee fell approximately 18 feet from the roof of a frame residential structure, after striking his head on a trailer jack."
FY 2012,2/11/12,2/9/12,Summers-Taylor Inc., Kingsport,TN,37660,,,Worker was struck and killed by a vehicle while carrying equipment across highway.
FY 2012,12/24/11,12/19/11,Wolf Tree Inc., Unicoi,TN,37692,,,Worker trimming trees alongside the road was struck and killed by a passing car.
FY 2012,9/8/12,7/21/12,Dandridge Golf and Country Club Inc., Dandridge,TN,37725,,,Worker at a golf country club died after falling from the mezzanine inside a storage barn.
FY 2012,2/25/12,2/23/12,Neo Corporation, Gatlinburg,TN,37738,,,Worker was working adjacent to an embankment when it collapsed.
FY 2012,3/3/12,2/23/12,Roberson Construction & Land Development, Gatlinburg,TN,37738,,,Worker was asphyxiated when an unshored wall collapsed while he was cutting rebar inside of a basin.
FY 2012,2/11/12,2/7/12,Ron's Millwright Service, Greenville,TN,37745,,,Worker died when he fell from roof.
FY 2012,3/17/12,3/13/12,Amerilam Supply Group, Knoxville,TN,37918,,,Worker was struck and killed by a delivery truck while crossing the road to get to the company warehouse.
FY 2012,11/5/11,11/2/11,United Elevator Services, Memphis,TN,38103,,,Mechanic was crushed between elevator and hoistway while riding on top of elevator's cab.
FY 2012,9/29/12,9/24/12,PennAKem,,TN,38108,,,Two workers transferring Furfurlyamine and Methanol from a storage tank to a reactor when an explosion occurred. Both suffered second degree burns and were hospitalized. One of these workers who suffered burns over 92% of body died on 9/27/2012.
FY 2012,2/11/12,2/9/12,Nickey Warehouses, Memphis,TN,38109,,,"Worker was crushed by a 1,500-pound roll of paper when it slipped out of a forklift clamp."
FY 2012,3/17/12,3/6/12,J.V. Industrial Companies Ltd., Memphis,TN,38109,,,"One worker was killed, two were burned, when a gas pipe they were working on exploded."
FY 2012,6/30/12,6/13/12,Scruggs Equipment Company, Memphis,TN,38113,,,"Worker was killed when a garbage truck he was working on activated, pinning his head."
FY 2012,7/14/12,6/13/12,Scruggs Equipment Company, Memphis,TN,38113,,,Worker performing maintenance on a front end garbage truck loader was crushed between the driver's side lifting arm and the debris body of the truck.
FY 2012,6/2/12,5/25/12,E.T.C. Inc., Stantonville,TN,38379,,,Worker was struck by a truck backing into the dock area.
FY 2012,2/4/12,1/23/12,Arnco Construction Inc., Trenton,TN,38382,,,Worker was killed when a building under construction collapsed.
FY 2012,11/5/11,10/30/11,Yorkville Gin Company, Yorkville,TN,38389,,,Worker was crushed by a lift box while fixing a hydraulic leak on a press.
FY 2012,3/17/12,3/14/12,Maury County Highway Dept., Columbia,TN,38401,,,Worker on a highway construction site died after falling 40 feet from an aerial boom that broke from the aerial lift truck.
FY 2012,4/14/12,4/12/12,TN Aluminum Processors Inc., Mt. Pleasant,TN,38474,,,Worker loading aluminum into a shredder was killed after being pulled into the machine.
FY 2012,2/4/12,1/27/12,Averitt Express Inc., Cookeville,TN,38502,,,Worker trying to re-enter moving tractor trailer was caught between truck and trailer.
FY 2012,10/1/11,9/26/11,Demas Enterprises, Dallas,TX,55210,,,Worker who was cleaning while standing on the roof of a gondola lift died after striking his head and falling off the lift.
FY 2012,12/24/11,12/2/11,Carlos & Carla LLC., Grand Prairie,TX,75050,,,Worker using a 40-foot ladder to hang Christmas lights was electrocuted when the ladder touched an overhead power line.
FY 2012,11/12/11,11/3/11,S.J. Louis Construction of Texas Ltd., Fairview,TX,75069,,,Two workers performing maintenance work on a sewer line died from exposure to a hazardous atmosphere after entering a manhole.
FY 2012,12/24/11,12/12/11,Andy on Call, Plano,TX,75074,,,Worker died when he fell from a ladder.
FY 2012,5/5/12,3/28/12,Delta Construction, Plano,TX,75075,,,A worker at a construction site was killed after a catering truck hit him.
FY 2012,2/11/12,2/3/12,NAMCO Dallas, Plano,TX,75093,,,"Carpet cleaning worker died from apparent asphyxiation after being found inside a garage, at the back of his parked work van where the cleaning machine was running."
FY 2012,7/7/12,6/20/12,Long Cove Development Inc., Malakoff,TX,75148,,,Worker at a residential community development was struck and killed by a falling tree.
FY 2012,1/28/12,1/11/12,Grant Construction, Dallas,TX,75214,,,Worker fell through an unguarded skylight after exiting from an aerial lift and walking onto a roof.
FY 2012,1/14/12,12/23/11,Humphrey & Associates, Dallas,TX,75229,,,Worker performing electrical contract work suffered a heart attack.
FY 2012,5/5/12,4/18/12,MEI Rigging and Crating, Dallas,TX,75235,,,Worker was run over and killed by a forklift used to deliver materials at a construction site.
FY 2012,3/3/12,2/17/12,Jackson Pipe & Steel, Leary,TX,75503,,,Worker operating a jib crane was killed when the steel column supporting the crane fell off its support base causing the column and crane to collapse on him.
FY 2012,1/7/12,12/24/11,Highway Technologies, DeKalb,TX,75559,,,Highway worker died from head injuries after falling off the back of truck.
FY 2012,8/4/12,7/3/12,Rutherford Tree Service, Fairfield,TX,75840,,,Worker was performing tree trimming operations and fell from a bucket.
FY 2012,7/7/12,7/5/12,Platinum Energy Services, Chireno,TX,75937,,,Worker was killed when the cap of a pressure manifold struck his head.
FY 2012,12/17/11,12/9/11,United Commercial Cast Stone, Denton,TX,76208,,,Worker operating a forklift that became stuck in a muddy pothole was killed when the unbalanced forklift tipped over onto him after he attempted to jump from vehicle.
FY 2012,3/24/12,2/22/12,Danny Mallard, Whitesboro,TX,76273,,,Worker installing an advertising billboard died after falling 30 feet.
FY 2012,4/7/12,4/3/12,W G Operating, Electra,TX,76360,,,Worker servicing an electrical pump was struck and killed by lightning.
FY 2012,1/28/12,1/24/12,Geer Tank Trucks Inc., Jacksboro,TX,76458,,,Worker was found underneath truck after performing work on semi-trailer truck.
FY 2012,12/10/11,12/8/11,TNT Energy, Rising Star,TX,76471,,,Worker died from head injuries after he was thrown from a collapsed rig.
FY 2012,12/24/11,12/15/11,Reynolds Transportation, Cameron,TX,76520,,,Worker died after being struck and dragged 400 ft by a tractor trailer while walking in a parking lot during heavy rain.
FY 2012,7/28/12,7/13/12,Williams Brothers Construction, Elm Mott,TX,76640,,,Worker performing construction activities died from possible heat stress.
FY 2012,7/28/12,7/26/12,Cornerstone Plumbing, Waco,TX,76707,,,Worker inspecting natural gas lines underneath a house was electrocuted after contacting exposed electrical wires.
FY 2012,7/28/12,7/27/12,Robinson Drilling of Texas Ltd., Big Lake,TX,76932,,,Worker performing oil rigging activities died when he fell from a ladder.
FY 2012,10/8/11,10/3/11,TNK & Servives, Sonora,TX,76950,,,"Worker checking an air leak underneath a truck was killed when the vehicle ran over him, dragging him 80 feet."
FY 2012,9/15/12,9/10/12,Pizzitola Guttering Co., Houston,TX,77007,,,Employee fell from ladder while performing work near gutter of house.
FY 2012,6/9/12,6/2/12,L-Con Inc., Houston,TX,77015,,,Worker welding a pipeline that once contained crude oil died when an explosion occurred.
FY 2012,1/7/12,1/4/12,Trans Action Packing, Houston,TX,77032,,,Worker was struck and killed by a forklift.
FY 2012,12/24/11,12/14/11,Premium Roofing Systems, Houston,TX,77040,,,Worker repairing a roof died after falling 25 feet through the roof to the concrete floor.
FY 2012,3/17/12,3/9/12,Arsham Metal Industries Inc., Houston,TX,77041,,,"One worker was killed, two injured, when a stack of 1,400-pound metal casting molds fell on top of them while they were on break inside an aluminum and metals facility."
FY 2012,3/17/12,3/12/12,Pace Residential LP, Houston,TX,77042,,,Worker making repairs around a sky light at a residential facility died after falling 22 feet through the skylight.
FY 2012,1/28/12,1/25/12,Viking Iron Metal, Houston,TX,77045,,,Worker dies from burns when a tank that once contained gasoline explodes.
FY 2012,2/4/12,2/1/12,V & M Tube Alloy, Houston,TX,77049,,,Worker repairing a hydrotester in a pipe manufacturing facility was killed after being struck on the head by a pipe on a conveyor belt.
FY 2012,8/25/12,8/16/12,Andrews Transport LP., Houston,TX,77049,,,Worker died from severe head injuries after falling from a tractor trailer.
FY 2012,3/3/12,2/29/12,Iron Boss Inc., Houston,TX,77056,,,Worker putting steel I-beams on blocks was killed when a beam struck his head and chest.
FY 2012,2/4/12,1/26/12,Amalda Enterprises Inc., Houston,TX,77066,,,Worker installing a steel girt to a prefabricated building died from a 40-foot fall onto a concrete surface.
FY 2012,5/19/12,5/15/12,Hightower Electric Company Ltd., Houston,TX,77066,,,Worker installing light fixtures in a remodeled building died when he fell off ladder after contacting live wiring.
FY 2012,4/7/12,4/2/12,Metroclean Commercial Building Services, Houston,TX,77067,,,Worker performing floor wax stripping duties was found deceased.
FY 2012,11/5/11,11/1/11,Tree Solution Incorporated, Houston,TX,77069,,,Worker died after he was hit by a falling tree.
FY 2012,1/14/12,1/6/12,Levco Construction, Houston,TX,77072,,,Worker installing a stormwater drainage pipe inside a trench was buried under soil when the trench collapsed.
FY 2012,3/3/12,2/29/12,Flatrolled Steel Inc., Houston,TX,77078,,,Worker died from injuries when a rail car cover struck his head and crushed his chest.
FY 2012,11/5/11,11/1/11,Exterran, Houston,TX,77086,,,Worker inspecting a large gas compressor fan was crushed when the fan fell on him.
FY 2012,11/26/11,11/21/11,Texas Highway Maintenance, Houston,TX,77090,,,Road worker repairing guardrails was struck and killed by a car.
FY 2012,9/8/12,9/4/12,Rangeline Tapping Services Inc., Cut and Shoot,TX,77306,,,"Employee performing painting services died after being pinned by a 2,000-pound flange housing."
FY 2012,3/3/12,2/27/12,CM Joslin Company Inc., Cleveland,TX,77327,,,Worker helping to cut down trees was struck and killed by a 55-foot tree being cut by another worker.
FY 2012,5/5/12,4/28/12,ISM Insulation, Magnolia,TX,77355,,,"Worker using scaffold to spray foam insulation on a wall died after his ladder slipped, causing him to fall."
FY 2012,7/7/12,6/28/12,Big 4 Erectors LP, Conroe,TX,77384,,,"Worker operating a crane to lift a concrete wall was killed when the crane collapsed, crushing the worker inside the cab."
FY 2012,8/25/12,8/19/12,Jordan General Contractors Inc., Hockley,TX,77447,,,Two workers died from injuries sustained in a demolition dust fire
FY 2012,3/3/12,2/23/12,Alltex Steel Inc., Sealy,TX,77474,,,"Worker inside of a scissor lift died when trusses hit the lift, tipping it over."
FY 2012,6/23/12,6/15/12,The Davey Tree Surgery Company, Fort Bend,TX,77494,,,Worker performing tree services died after falling from a boom truck bucket.
FY 2012,9/15/12,9/7/12,Ameriwaste Inc., Santa Fe,TX,77510,,,Worker died after being pinned between truck and ground after truck rolled over into ditch.
FY 2012,5/5/12,4/19/12,Juan Alejandro Alvarez, Angleton,TX,77515,,,Worker repairing a roof died when he fell 22 feet through a fiberglass skylight onto concrete.
FY 2012,8/11/12,7/20/12,Affordable Mobile Home Movers, Channelview,TX,77530,,,Worker died from possible electrical shock.
FY 2012,9/22/12,9/21/12,G.R. Birdwell Construction LP, Channelview,TX,77530,,,Worker was killed after being pinned between the dirt compactor he was operating and a wall.
FY 2012,9/29/12,9/21/12,G.R. Birdwell Construction LP, Channelview,TX,77530,,,Worker was killed after being pinned between the dirt compactor he was operating and a wall.
FY 2012,8/25/12,7/16/12,Dow Chemical Texas Inc., Deer Park,TX,77536,,,Worker opening a filter casing died from burns after being sprayed with 100 degree celsius hot condensate.
FY 2012,3/31/12,3/27/12,J & S Industries, Friendswood,TX,77546,,,Worker trimming trees was electrocuted when his aluminum saw touched a transmission line.
FY 2012,3/24/12,3/20/12,Suderman Stevedore Inc., Galveston,TX,77550,,,Worker was found deceased in a restroom.
FY 2012,5/5/12,4/18/12,WM Contractor, Galveston,TX,77554,,,Worker power washing a metal roof died after stepping on a fiberglass skylight and falling 35 feet.
FY 2012,11/19/11,11/12/11,C-Steel Erectors, Tiki Island,TX,77554,,,"Worker tightening a nut while sitting on a horizontal beam slipped and fell 14 feet, landing on his head and shoulders."
FY 2012,3/17/12,3/12/12,Affiliated Machinery Inc., Pearland,TX,77581,,,Worker using a forklift to move machinery died after becoming pinned between the forklift and the pallet rack.
FY 2012,9/8/12,9/5/12,Industrial TX Corp., Webster,TX,77598,,,Worker was struck and killed by construction equipment.
FY 2012,11/19/11,11/14/11,Evans Contractors, China,TX,77613,,,"A tractor driver drowned when his tractor flipped over and landed upside down in a ditch, trapping him inside the cab."
FY 2012,6/2/12,5/30/12,Precision Drilling, Orange,TX,77631,,,"Worker performing drilling operations 3,500 feet below the surface was found dead on rig stairs leading to a mud tank."
FY 2012,2/25/12,2/18/12,Duphil Construction, Orange,TX,77632,,,Worker was crushed when a load on a forklift fell.
